P2-136	2000-01-01T00:00:00Z	2000-01-01T00:10:26Z
UI4	2000-01-01T00:00:00Z	2000-01-01T00:08:38Z
P2-107	2000-01-01T00:00:00Z	2000-01-01T00:07:14Z
UI2	2000-01-01T00:00:00Z	2000-01-01T00:07:12Z
UI3	2000-01-01T00:00:00Z	2000-01-01T00:06:48Z
P2-123	2000-01-01T00:00:00Z	2000-01-01T00:06:28Z
CM3	2000-01-01T00:00:00Z	2000-01-01T00:06:04Z
P1-121	2000-01-01T00:00:00Z	2000-01-01T00:05:39Z
P1-76	2000-01-01T00:00:00Z	2000-01-01T00:05:32Z
P2-98	2000-01-01T00:00:00Z	2000-01-01T00:05:21Z
P1-133	2000-01-01T00:00:00Z	2000-01-01T00:05:06Z
P1-139	2000-01-01T00:00:00Z	2000-01-01T00:04:56Z
P2-116	2000-01-01T00:00:00Z	2000-01-01T00:04:56Z
F-6	2000-01-01T00:00:00Z	2000-01-01T00:04:50Z
UI6	2000-01-01T00:00:00Z	2000-01-01T00:04:46Z
F9	2000-01-01T00:00:00Z	2000-01-01T00:04:41Z
P2-27	2000-01-01T00:00:00Z	2000-01-01T00:04:40Z
P3-34	2000-01-01T00:00:00Z	2000-01-01T00:04:40Z
UI1	2000-01-01T00:00:00Z	2000-01-01T00:04:37Z
P2-92	2000-01-01T00:00:00Z	2000-01-01T00:04:35Z
P1-82 / P1-86	2000-01-01T00:00:00Z	2000-01-01T00:04:23Z
P2-135	2000-01-01T00:00:00Z	2000-01-01T00:04:17Z
P2-119	2000-01-01T00:00:00Z	2000-01-01T00:04:13Z
P2-134	2000-01-01T00:00:00Z	2000-01-01T00:04:09Z
UI7	2000-01-01T00:00:00Z	2000-01-01T00:03:57Z
P2-145	2000-01-01T00:00:00Z	2000-01-01T00:03:56Z
CM4	2000-01-01T00:00:00Z	2000-01-01T00:03:53Z
P1-99	2000-01-01T00:00:00Z	2000-01-01T00:03:53Z
P1-140	2000-01-01T00:00:00Z	2000-01-01T00:03:52Z
P1-85	2000-01-01T00:00:00Z	2000-01-01T00:03:51Z
P0-67	2000-01-01T00:00:00Z	2000-01-01T00:03:48Z
UI5	2000-01-01T00:00:00Z	2000-01-01T00:03:33Z
P2-112	2000-01-01T00:00:00Z	2000-01-01T00:03:22Z
P1-71	2000-01-01T00:00:00Z	2000-01-01T00:03:19Z
P1-84	2000-01-01T00:00:00Z	2000-01-01T00:03:15Z
P2-108	2000-01-01T00:00:00Z	2000-01-01T00:03:02Z
P0-63	2000-01-01T00:00:00Z	2000-01-01T00:03:00Z
P3-30	2000-01-01T00:00:00Z	2000-01-01T00:02:58Z
P2-101	2000-01-01T00:00:00Z	2000-01-01T00:02:57Z
P2-113	2000-01-01T00:00:00Z	2000-01-01T00:02:56Z
P1-83	2000-01-01T00:00:00Z	2000-01-01T00:02:38Z
P1-87	2000-01-01T00:00:00Z	2000-01-01T00:02:33Z
P2-38	2000-01-01T00:00:00Z	2000-01-01T00:02:18Z
P0-96	2000-01-01T00:00:00Z	2000-01-01T00:02:15Z
P1-100	2000-01-01T00:00:00Z	2000-01-01T00:01:49Z
